AA00001,"データを読み込んでから実施してください。"
AA00003,"指定している品目手配区分のとき、発注点在庫数に0より大きい値を指定してください。"
AA00004,"指定している品目手配区分のとき、定量発注数量に0より大きい値を指定してください。"
AA00005,"指定している品目手配区分のとき、最大手配数量に0より大きい値を指定してください。"
AA00007,"荷姿単位数が未入力です。"
AA00008,"比例分ロットサイズに0より大きい値を指定してください。"
AA00010,"品目手配区分が製品構成情報に矛盾しています。"
AA00011,"手配情報または在庫情報があるため、品目手配区分を変更できません。"
AA00012,"所要量が存在するので削除できません。"
AA00013,"製番計画が存在するので削除できません。"
AA00014,"製品構成が存在するので削除できません。"
AA00015,"保管区別品目在庫が存在するので削除できません。"
AA00016,"保管区別製番在庫が存在するので削除できません。"
AA00017,"作業実績が存在するので削除できません。"
AA00018,"発注残が存在するので削除できません。"
AA00019,"作業系列別仕掛が存在するので削除できません。"
AA00020,"品目手配リードタイムに0以上の整数を指定してください。"
AA00021,"品目固定分リードタイムに0以上の整数を指定してください。"
AA00022,"品目比例分リードタイムに0以上の整数を指定してください。"
AA00023,"安全日数に0以上の整数を指定してください。"
AA00024,"最大まとめ期間に0より大きい整数を指定してください。"
AA00025,"荷姿単位数に0より大きい値を指定してください。"
AA00026,"品目比例分ロットサイズに0より大きい値を指定してください。"
AA00027,"品目仕損率に0以上の値を指定してください。"
AA00028,"安全在庫量に0以上の値を指定してください。"
AA00029,"最大手配数量に0より大きい値を指定してください。"
AA00030,"発注点在庫数に0以上の値を指定してください。"
AA00031,"定量発注数に0より大きい値を指定してください。"
AA00032,"最小手配数に0以上の値を指定してください。"
AA00033,"最小手配数に0以上の値を指定してください。"
AA00034,"単位重量に0以上の値を指定してください。"
AA00035,"対象日付が不正です。"
AA00036,"初期展開レベルに整数を指定してください。"
AA00037,"初期展開レベルは15以内を指定してください。"
AA00038,"構成版数が未入力です。"
AA00039,"製品構成固定分リードタイムに整数を指定してください。"
AA00040,"製品構成比例分リードタイムに整数を指定してください。"
AA00041,"照会順序に整数を指定してください。"
AA00042,"構成単位数 分母に数値を指定してください。"
AA00043,"構成単位数 分子に数値を指定してください。"
AA00044,"構成仕損率に0以上の数値を指定してください。"
AA00045,"構成比例分ロットサイズに数値を指定してください。"
AA00046,"有効開始日が未入力もしくは不正な日付です。"
AA00047,"有効終了日が未入力もしくは不正な日付です。"
AA00048,"開始日と終了日に矛盾があります。"
