"AC0110010","10","1000","製番引当過不足一覧の画面リスト","The screen list of PN stock drawing excess-and-deficiency list",
"AC0100010","10","100","製番引当メンテナンスの「製番引当一覧」","The""PN stock drawing list"" of PN stock drawing maintenance",
"AC0100010","11","100","製番引当メンテナンスの「引当可能一覧」","The""drawing possible list"" of PN stock drawing maintenance",
"AD0020011","10","100","品目別作業計画メンテナンス(製番)サブ1の「品目別仕掛」一覧","The ""WIP by item""list of  the work planning maintenance by item(PN) sub1",
"AD0030020","10","100","系列別作業計画メンテナンスの「作業系列別仕掛」一覧","The ""WIP by WS""list of the work planning maintenance by seq",
"AD0030030","10","1000","作業指示確定実行の一覧","The list of WI confirmed EXEC",
"AD0030040","10","1000","作業指示書発行の作業指示一覧","The WI list of issued  work instruction",
"AD0040010","10","100","作業実績メンテナンスの「作業実績一覧」（上段）","The ""work actual list ""(top) of actual work maintenance",
"AD0040010","11","100","作業実績メンテナンスの「使用子品目一覧」（下段）","The ""used component part list""(bottom) of actual work maintenance",
"AD0040010","20","100","作業実績メンテナンスサブ1の「不良理由一覧」","The ""defective reason list"" of actual work maintenance sub1",
"AD0050010","10","100","出来高実績入力の「使用子部品一覧」","The ""using component part list"" of actual amount actual input",
"AD0070010","10","1000","作業指示一覧の画面リスト","The screen list of WI list",
"AD0100010","10","100","出来高作業指示強制完了の画面リスト","The screen list of WI amount compulsion completion",
"AD0120010","10","100","現品票印刷の画面リスト","The screen list of Article sheet print",
"AD2070010","10","1000","作業指示一覧の画面リスト(Jf用）","The screen list of WI list(for Jf)",
"AE0030010","10","1000","発注指示確定（一括）の画面リスト","The screen list of order instruction confirmed (batch)",
"AE0030020","10","1000","注文書発行（一括）の画面リスト","The screen list of order sheet issue (batch)",
"AE0040010","10","1000","購買ＥＤＩ注文データ作成の画面リスト","The screen list of purch EDI order data creation",
"AE0040030","10","1000","購買ＥＤＩ所要データ作成の画面リスト","The screen list of purch EDI Rqrmnt data creation",
"AE0060020","10","100","受入実績メンテナンスの「受入実績一覧」（上段）","The ""accept actual list"" (top) of accept actual maintenance",
"AE0060020","11","1000","受入実績メンテナンスの「支給品使用実績一覧」（下段）","The""actual supplies usage list"" (bottom) of accept actual maintenance",
"AE0060030","10","100","検査実績入力の画面リスト","The screen list of inspec actual input",
"AE0020010","10","1000","発注計画（製番品目選択）の画面ツリー","The screen tree of order plan (PN item selection)",
"AE0020020","10","100","発注計画メンテナンス（製番）の画面リスト","The screen list of order plan maintenance (PN)",
"AE0110010","10","1000","有償支給履歴一覧の画面リスト","The screen list of chargeable supply history list",
"AE0130010","10","1000","購入返品実績一覧の画面リスト","The screen list of purchase returned goods actual list",
"AE2130010","10","1000","購入返品実績一覧の画面リスト(Jf用）","The screen list of purchase returned goods actual list(for Jf)",
"AE0140010","10","1000","検査実績一覧の画面リスト","The screen list of inspec actual list",
"AE0080010","10","1000","購買ＥＤＩ注文取消データ作成の画面リスト","The screen list of purch EDI order cancel data creation",
"AE0070010","10","1000","注文取消書発行の画面リスト","The screen list of order CAN sheet issue",
"AA0120010","10","100","為替レート情報メンテナンスの画面リスト","The screen list of exchange rate Info maintenance",
"AA0140010","10","100","購入単価一覧の画面リスト","The screen list of purchase unit cost list",
"AF0010010","10","1000","出庫指示一覧の画面リスト","The screen list of II list",
"AF0020010","10","100","マニュアル出庫実績入力の親画面リスト","The parent screen list of manual issue actual input",
"AF0030010","10","0","キット出庫実績入力の親画面リスト","The parent screen list of kit issue actual input",
"AF0040010","10","0","追加出庫実績入力の親画面リスト","The parent screen list of add issue actual input",
"AF0060010","10","1000","保管区移動実績入力（入庫）の親画面リスト","The parent screen list of SS dislodging actual input (receipt)",
"AF0070010","10","100","余剰在庫振替入力の親画面リスト","The parent screen list of surplus stock transfer input",
"AF0080010","10","100","戻入実績入力の親画面リスト","The parent screen list of actual return input",
"AF0110010","10","1000","余剰在庫一括振替の画面リスト","The screen list of surplus stock batch transfer",
"AG0010010","10","1000","在庫照会の子画面リスト","The sub-screen list of stock reference",
"AG0020010","10","1000","入出庫一覧の画面リスト","The screen list of GM list",
"AG2020010","10","1000","入出庫一覧の画面リスト(Jf用）","The screen list of GM list(for Jf)",
"AG0040010","10","1000","在庫一覧の画面リスト","The screen list of stock List",
"AG0050010","10","1000","品目別有効在庫照会一覧の画面リスト","The screen list of valid stock reference list by item",
"AG2060010","10","500","ロット振替実績入力（Jf用）","Actual lot transfer input (for Jf)",
"AZ0040010","10","1000","一般検索 クエリのリスト","The list of general retrieval query",
